ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Days_Since_Enrolled,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment,Kidhome_transformed,MntWines_transformed,MntFruits_transformed,MntMeatProducts_transformed,MntFishProducts_transformed,MntSweetProducts_transformed,MntGoldProds_transformed,NumDealsPurchases_transformed,NumWebPurchases_transformed,NumCatalogPurchases_transformed,NumStorePurchases_transformed,Has_Children,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD
5524,1957,Graduation,Single,58138.0,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,971,25,1617,3,5,5,35,40.76678765880218,89.46774921064502,89.48793142341529,4.11,High value Customer,0.0,25.199206336708304,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,0.994099345357619,2.8284271247461903,2.223980090569316,2.0,0,False,False,True,False,False,False,False,True,False,False
2174,1954,Graduation,Single,46344.0,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,125,6,27,4,1,1,41,61.47912885662432,15.358592692828148,15.362057297541169,1.11,At Risk,1.0,3.3166247903554,0.6931471805599453,1.9459101490553128,1.0986122886681098,0.6931471805599453,1.9459101490553128,0.8412383821602403,1.0,1.259921049894873,1.4142135623730951,1,False,False,True,False,False,False,False,True,False,False
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,472,21,776,4,4,4,44,73.72958257713249,75.19170049616599,75.2086623054365,3.75,Medium Value Customer,0.0,20.63976744055029,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935615,0.5839432579994446,2.8284271247461903,1.4422495703074083,3.1622776601683795,0,False,False,False,True,False,False,False,True,False,False
6182,1984,Graduation,Together,26646.0,1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,65,8,53,4,2,1,42,73.72958257713249,26.95083446098331,26.956914053688248,1.7,At Risk,1.0,3.3166247903554,1.6094379124341005,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,0.8412383821602403,1.4142135623730951,1.0,2.0,1,False,False,False,True,False,False,False,True,False,False
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,321,19,422,1,4,3,14,5.195099818511797,66.5764546684709,66.59147304308594,2.87,Low Value Customers,1.0,13.152946437965904,3.784189633918261,4.77912349311153,3.8501476017100575,3.332204510175204,2.772588722239781,1.1748209479730365,2.23606797749979,1.5874010519681994,2.449489742783178,1,False,True,False,False,False,False,False,False,False,True
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,453,22,716,5,4,4,54,83.57531760435572,79.43166441136671,79.44958267538912,4.0,Medium Value Customer,0.0,22.80350850198276,3.7612001156935615,4.59511985013459,0.0,3.7612001156935615,2.70805020110221,0.8412383821602403,2.449489742783178,1.709975946676697,3.1622776601683795,1,False,False,False,True,False,False,False,False,True,False
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,753,21,590,4,4,3,44,65.19963702359347,75.19170049616599,75.2086623054365,3.69,Medium Value Customer,0.0,15.329709716755891,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,1.098158439308463,2.6457513110645907,1.5874010519681994,2.6457513110645907,1,True,False,False,False,False,False,False,True,False,False
6177,1985,PhD,Married,33454.0,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,488,10,169,4,2,2,42,66.96914700544465,35.47586829048263,35.483870967741936,2.01,Low Value Customers,1.0,8.717797887081348,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,0.8412383821602403,2.0,1.0,2.0,1,False,True,False,False,False,False,False,False,False,True
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,548,6,46,5,1,1,51,80.78493647912886,15.358592692828148,15.362057297541169,1.26,At Risk,1.0,3.741657386773941,0.0,3.218875824868201,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.5839432579994446,1.7320508075688772,1.0,1.4142135623730951,1,False,False,False,True,False,False,False,False,False,True
1994,1983,Graduation,Married,52169.74977578475,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,386,4,19,5,1,1,51,88.49818511796734,3.202525935949481,3.203248364538687,0.8,Lost Customers,1.0,2.23606797749979,1.791759469228055,1.9459101490553128,0.0,1.0986122886681098,0.6931471805599453,0.5839432579994446,1.0,1.0,1.4142135623730951,1,False,True,False,False,False,False,False,True,False,False
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,753,6,61,3,1,2,31,40.131578947368425,15.358592692828148,15.362057297541169,0.95,Lost Customers,0.0,2.449489742783178,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,0.5839432579994446,1.4142135623730951,1.0,1.7320508075688772,0,False,True,False,False,False,False,True,False,False,False
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,386,16,1102,1,3,4,13,17.173321234119783,53.33784393324312,53.34987593052109,2.4,Low Value Customers,0.0,13.92838827718412,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,0.5839432579994446,1.7320508075688772,1.709975946676697,2.8284271247461903,0,True,False,False,False,False,False,False,True,False,False
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,386,15,310,3,3,3,33,46.64246823956443,49.48128101037438,49.49244304083014,2.45,Low Value Customers,1.0,15.264337522473747,1.0986122886681098,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,0.994099345357619,2.449489742783178,1.259921049894873,2.23606797749979,1,True,False,False,False,False,False,False,False,True,False
